data,home_team,away_team,cidade,fase,P_home,P_draw,P_away,lambda_home,lambda_away,placar_mais_provavel,top3_placares,resultado_previsto,confianca,observacao
2026-06-11,Mexico,South Africa,Mexico City,Fase de Grupos,0.745,0.176,0.079,2.14,0.58,2-0(15%),2-0(15%) | 1-0(14%) | 3-0(11%),H,0.745,
2026-06-11,South Korea,Czech Republic,Zapopan,Fase de Grupos,0.441,0.263,0.296,1.33,1.22,1-1(13%),1-1(13%) | 1-0(10%) | 0-1(9%),H,0.441,
2026-06-12,United States,Paraguay,Inglewood,Fase de Grupos,0.425,0.318,0.257,1.33,1.02,1-1(13%),1-1(13%) | 1-0(13%) | 0-1(10%),H,0.425,
2026-06-12,Canada,Bosnia and Herzegovina,Toronto,Fase de Grupos,0.705,0.213,0.082,2.05,0.72,2-0(13%),2-0(13%) | 1-0(13%) | 2-1(9%),H,0.705,
2026-06-13,Australia,Turkey,Vancouver,Fase de Grupos,0.305,0.283,0.412,1.17,1.44,1-1(12%),1-1(12%) | 0-1(11%) | 1-2(9%),A,0.412,
2026-06-13,Qatar,Switzerland,Santa Clara,Fase de Grupos,0.119,0.216,0.664,0.95,2.14,0-2(10%),0-2(10%) | 1-2(10%) | 0-1(10%),A,0.664,
2026-06-13,Haiti,Scotland,Foxborough,Fase de Grupos,0.218,0.315,0.467,1.09,1.64,1-1(12%),1-1(12%) | 0-1(11%) | 1-2(10%),A,0.467,
2026-06-13,Brazil,Morocco,East Rutherford,Fase de Grupos,0.346,0.29,0.364,1.4,1.11,1-1(13%),1-1(13%) | 1-0(11%) | 0-1(9%),A,0.364,jogo aberto
2026-06-14,Sweden,Tunisia,Guadalupe,Fase de Grupos,0.437,0.291,0.272,1.36,1.18,1-1(13%),1-1(13%) | 1-0(11%) | 0-1(9%),H,0.437,
2026-06-14,Netherlands,Japan,Arlington,Fase de Grupos,0.363,0.331,0.307,1.46,1.13,1-1(12%),1-1(12%) | 1-0(11%) | 2-1(9%),H,0.363,jogo aberto
2026-06-14,Germany,Curaçao,Houston,Fase de Grupos,0.883,0.065,0.052,3.01,0.7,3-0(11%),3-0(11%) | 2-0(11%) | 4-0(8%),H,0.883,
2026-06-14,Ivory Coast,Ecuador,Philadelphia,Fase de Grupos,0.187,0.28,0.532,0.93,1.55,0-1(13%),0-1(13%) | 1-1(12%) | 0-2(10%),A,0.532,
2026-06-15,Belgium,Egypt,Seattle,Fase de Grupos,0.511,0.257,0.233,1.67,1.05,1-1(12%),1-1(12%) | 1-0(11%) | 2-1(10%),H,0.511,
2026-06-15,Iran,New Zealand,Inglewood,Fase de Grupos,0.576,0.259,0.165,1.86,0.8,1-0(13%),1-0(13%) | 2-0(12%) | 1-1(10%),H,0.576,
2026-06-15,Spain,Cape Verde,Atlanta,Fase de Grupos,0.876,0.074,0.05,3.32,0.64,3-0(12%),3-0(12%) | 2-0(11%) | 4-0(10%),H,0.876,
2026-06-15,Saudi Arabia,Uruguay,Miami Gardens,Fase de Grupos,0.162,0.232,0.607,0.84,1.63,0-1(14%),0-1(14%) | 1-1(12%) | 0-2(11%),A,0.607,
2026-06-16,Austria,Jordan,Santa Clara,Fase de Grupos,0.579,0.214,0.208,1.99,1.01,1-1(10%),1-1(10%) | 2-1(10%) | 1-0(10%),H,0.579,
2026-06-16,Argentina,Algeria,Kansas City,Fase de Grupos,0.69,0.219,0.092,2.27,0.83,2-0(12%),2-0(12%) | 1-0(10%) | 2-1(10%),H,0.69,
2026-06-16,France,Senegal,East Rutherford,Fase de Grupos,0.58,0.226,0.195,1.82,1.14,1-1(11%),1-1(11%) | 2-1(10%) | 1-0(9%),H,0.58,
2026-06-16,Iraq,Norway,Foxborough,Fase de Grupos,0.202,0.32,0.479,1.07,1.68,1-1(12%),1-1(12%) | 0-1(11%) | 1-2(10%),A,0.479,
2026-06-17,Ghana,Panama,Toronto,Fase de Grupos,0.206,0.311,0.483,0.93,1.79,0-1(12%),0-1(12%) | 1-1(11%) | 0-2(11%),A,0.483,
2026-06-17,Portugal,DR Congo,Houston,Fase de Grupos,0.674,0.24,0.086,2.09,0.82,2-0(12%),2-0(12%) | 1-0(11%) | 2-1(10%),H,0.674,
2026-06-17,England,Croatia,Arlington,Fase de Grupos,0.429,0.214,0.357,1.61,1.12,1-1(12%),1-1(12%) | 1-0(11%) | 2-1(9%),H,0.429,
2026-06-17,Uzbekistan,Colombia,Mexico City,Fase de Grupos,0.196,0.315,0.489,1.07,1.71,1-1(11%),1-1(11%) | 0-1(11%) | 1-2(10%),A,0.489,
